# x80,y99,z0,u,v,p,T
2.786614381932239065e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.647873266069329290e+01,3.700000000000000000e+02
3.014842639800316415e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.617150547847107234e+01,3.700000000000000000e+02
3.259046875719159853e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.587363586945892457e+01,3.700000000000000000e+02
3.520345408152322775e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.558623401994949731e+01,3.700000000000000000e+02
3.799934837855806213e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.530728925333413315e+01,3.700000000000000000e+02
4.099095527638534076e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.503796070891994852e+01,3.700000000000000000e+02
4.419197465706051903e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.477658500527665275e+01,3.700000000000000000e+02
4.761706539438297081e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.452410674154660342e+01,3.700000000000000000e+02
5.128191248331798180e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.427917823361455874e+01,3.700000000000000000e+02
5.520329886847845369e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.404251100870720315e+01,3.700000000000000000e+02
5.939918230060015764e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.381329891746195671e+01,3.700000000000000000e+02
6.388877757297037330e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.359154057032515794e+01,3.700000000000000000e+02
6.869264451440651453e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.337722497484594797e+01,3.700000000000000000e+02
7.383278214174318621e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.316969275081630641e+01,3.700000000000000000e+02
7.933272940299343490e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.296938356860232311e+01,3.700000000000000000e+02
8.521767297253118878e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.277533411803032415e+01,3.700000000000000000e+02
9.151456259193657683e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.258790959917351238e+01,3.700000000000000000e+02
9.825223448470034315e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.240660684431884953e+01,3.700000000000000000e+02
1.054615434099575866e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.223101524703714027e+01,3.700000000000000000e+02
1.131755039599828400e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.206133339207148403e+01,3.700000000000000000e+02
1.214294417485098365e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.189682058276296672e+01,3.700000000000000000e+02
1.302611551822337455e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.173741653484158753e+01,3.700000000000000000e+02
1.397110885563183080e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.158304071970958482e+01,3.700000000000000000e+02
1.498225172665887950e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.143308217861371112e+01,3.700000000000000000e+02
1.606417459865782660e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128755444397662266e+01,3.700000000000000000e+02
1.722183207169669661e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.114627599667147351e+01,3.700000000000000000e+02
1.846052556784828491e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.100879733293915663e+01,3.700000000000000000e+02
1.978592760873049139e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.087510894796929151e+01,3.700000000000000000e+02
2.120410779247444699e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.074509114808325094e+01,3.700000000000000000e+02
2.272156058908047505e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.061839485374373204e+01,3.700000000000000000e+02
2.434523508144892934e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.049496948083181813e+01,3.700000000000000000e+02
2.608256678828317909e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.037478998531727292e+01,3.700000000000000000e+02
2.794151171459582361e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.025757163596191113e+01,3.700000000000000000e+02
2.993058278575035924e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.014314357701701930e+01,3.700000000000000000e+02
3.205888883188570126e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.003137325290291137e+01,3.700000000000000000e+02
3.433617630125052056e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.921611180029978883e+00,3.700000000000000000e+02
3.677287389347088653e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.812492533074269829e+00,3.700000000000000000e+02
3.938014031714667240e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.700937214180035184e+00,3.700000000000000000e+02
4.216991539047976190e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.578139363513676230e+00,3.700000000000000000e+02
4.515497471894616144e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.415518380984389424e+00,3.700000000000000000e+02
4.834898820040521850e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.700000000000000000e+02
-1.763707217682217859e-02,1.227469958079341252e-04,0.000000000000000000e+00,1.612918770133821909e+03,0.000000000000000000e+00,6.666999999999999815e+00,3.000000000000000000e+02
-1.343385788699495362e-02,1.227469958079341252e-04,0.000000000000000000e+00,1.612917762475379504e+03,6.511049617791901493e-05,6.667069263558556003e+00,3.000032116061282181e+02
-1.016032650862484267e-02,1.227469958079341252e-04,0.000000000000000000e+00,1.612911217604098965e+03,5.453713179043007640e-04,6.667519818810206722e+00,3.000240952370749028e+02
-7.610847241981452682e-03,1.227469958079341252e-04,0.000000000000000000e+00,1.612873261097229260e+03,3.252738711042917931e-03,6.669913519987479944e+00,3.001331587787208264e+02
-5.625271489143922679e-03,1.227469958079341252e-04,0.000000000000000000e+00,1.612680668258854894e+03,1.986920799680088473e-02,6.682547860548350371e+00,3.007052966880211784e+02
-4.078872927743976140e-03,1.227469958079341252e-04,0.000000000000000000e+00,1.611758855243943799e+03,8.980376762936354007e-02,6.732944969120411294e+00,3.029390534104363724e+02
