# rhoA,rhoUA,rhoVA,rhoEA,LR
-6.546554233912733511e-07,-2.774803334133197272e-10,-7.648876723984075951e-10,-6.486291295520261387e-13,1.215766545905693738e-05
-5.613155888250926064e-07,-3.428487675251169774e-10,-8.555122009811372818e-10,-6.550556414016036935e-13,1.215766545905693738e-05
-4.555777032782073225e-07,-4.087225290612513457e-10,-9.409074053968991773e-10,-6.539296803158770504e-13,1.215766545905693738e-05
-3.389123641472477918e-07,-4.733505673097312114e-10,-1.018506561930103134e-09,-6.441973551528588265e-13,1.215766545905693738e-05
-2.135820359788628598e-07,-5.353537098691609143e-10,-1.085649239217309498e-09,-6.251529348590764489e-13,1.215766545905693738e-05
-8.441370885882529058e-08,-5.927328351893964361e-10,-1.138558108437626742e-09,-5.956027897586327177e-13,1.215766545905693738e-05
4.571105663982395514e-08,-6.430302612034749183e-10,-1.174107191793173387e-09,-5.548889945328476860e-13,1.215766545905693738e-05
1.735188614100179503e-07,-6.840052751260418959e-10,-1.189416445174043555e-09,-5.032705058338679962e-13,1.215766545905693738e-05
2.933653479290875649e-07,-7.128569007511703672e-10,-1.181063481393975776e-09,-4.406305845338081214e-13,1.215766545905693738e-05
4.007555371174824706e-07,-7.263050289647796739e-10,-1.145858093586642917e-09,-3.678395424117155890e-13,1.215766545905693738e-05
4.917349434289589852e-07,-7.210550859544742113e-10,-1.081819346785165747e-09,-2.873426693929871106e-13,1.215766545905693738e-05
5.612166894840933042e-07,-6.936105988779410088e-10,-9.881971170707155866e-10,-2.022082143171292880e-13,1.215766545905693738e-05
6.032641726124135657e-07,-6.406959599474492826e-10,-8.644380050550858550e-10,-1.172456486538685090e-13,1.215766545905693738e-05
6.144163782250716977e-07,-5.600175992088698373e-10,-7.140980935972121488e-10,-3.969964742192691679e-14,1.215766545905693738e-05
5.912282096927731026e-07,-4.517054029089553310e-10,-5.446958614015968065e-10,2.193925680887753183e-14,1.215766545905693738e-05
5.306310438363322799e-07,-3.212766355942006472e-10,-3.695626995696961953e-10,5.755211086129128972e-14,1.215766545905693738e-05
4.333789237704217729e-07,-1.841179469175446628e-10,-2.104174301571388660e-10,5.961974499786746701e-14,1.215766545905693738e-05
3.037798383288701031e-07,-7.399894180323295097e-11,-9.669442135268860744e-11,3.635833146446981508e-14,1.215766545905693738e-05
-1.924709448130914978e-05,2.621634095816553653e-08,2.266223489346867384e-09,-1.673927734906766387e-11,1.215766545905693738e-05
-1.135311839387773440e-05,1.544793149134289324e-08,2.639871175674530497e-09,-1.037691145571411973e-11,1.215766545905693738e-05
-7.467186596478828073e-06,1.004403044478000007e-08,2.756480596578229839e-09,-7.107332451367903055e-12,1.215766545905693738e-05
-5.086215846104343228e-06,6.827989153041113652e-09,2.617142256413634851e-09,-5.118601690843297009e-12,1.215766545905693738e-05
-3.788146191936010949e-06,5.158820793935745393e-09,2.289176150217006038e-09,-4.041081542658936519e-12,1.215766545905693738e-05
-2.956526643534165834e-06,4.157708696597504743e-09,1.854319213477365613e-09,-3.356021367344565870e-12,1.215766545905693738e-05
-2.305909769298487200e-06,3.393883166010381064e-09,1.388962276670733643e-09,-2.807871755996763819e-12,1.215766545905693738e-05
-1.722333139692812860e-06,2.683388653520395652e-09,9.462048943475076172e-10,-2.287851752325993503e-12,1.215766545905693738e-05
-1.176122370812799787e-06,1.959917657121321211e-09,5.631526706667916022e-10,-1.751705030790642104e-12,1.215766545905693738e-05
-7.227338374849276421e-07,1.300862709871119128e-09,2.261720643994939937e-10,-1.253312502085191530e-12,1.215766545905693738e-05
-6.134031871528995522e-07,9.340549019983091340e-10,-1.342018969689594681e-10,-8.821016206131351423e-13,1.215766545905693738e-05
-8.105191543772203355e-07,8.327134686664386088e-10,-1.107817481256886645e-10,-7.442299905629853295e-13,1.215766545905693738e-05
-9.583241793677162060e-07,7.658734728090160381e-10,-1.441254745240125677e-10,-6.793817561591489551e-13,1.215766545905693738e-05
-1.126203708774749714e-06,7.212294492391506189e-10,-1.649954300836881994e-10,-6.235118804806439887e-13,1.215766545905693738e-05
-1.313242050071327001e-06,6.997691796608135777e-10,-1.863327340879116239e-10,-5.910295905418934131e-13,1.215766545905693738e-05
-1.507531869639781406e-06,6.937004193149003783e-10,-2.007634336278686759e-10,-5.698470573314584343e-13,1.215766545905693738e-05
-1.695630732407811006e-06,6.942148210400350606e-10,-2.111576426973444244e-10,-5.571514424842503161e-13,1.215766545905693738e-05
-1.867650535001130531e-06,6.953815070721768895e-10,-2.181305894161931056e-10,-5.478253848224177327e-13,1.215766545905693738e-05
-2.022483603308675782e-06,6.945488109698893465e-10,-2.222051007187630477e-10,-5.393060790307248136e-13,1.215766545905693738e-05
-2.163780012623586775e-06,6.921276183919679344e-10,-2.239849484242429175e-10,-5.308185682091915326e-13,1.215766545905693738e-05
-2.294215158556081071e-06,6.885883918991161731e-10,-2.238872686946793468e-10,-5.216206847990530950e-13,1.215766545905693738e-05
