# x80,y.99,z0,u,v,p,T,dudx
-1.763707217682217859e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612918770133821909e+03,0.000000000000000000e+00,6.666999999999999815e+00,3.000000000000000000e+02,-1.180546327110652688e-01
-1.343385788699495362e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612917654315516756e+03,0.000000000000000000e+00,6.667076683723470509e+00,3.000035519150719665e+02,-1.227910884361149257e+00
-1.016032650862484267e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612910484123268589e+03,0.000000000000000000e+00,6.667570071030469059e+00,3.000263981260037554e+02,-9.151770402132429538e+00
-7.610847241981452682e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.612869403887357521e+03,0.000000000000000000e+00,6.670161211134314705e+00,3.001443663990594928e+02,-6.004778595575970712e+01
-5.625271489143922679e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.612662938984948823e+03,0.000000000000000000e+00,6.683699402723051186e+00,3.007569586667273143e+02,-3.676336827023474143e+02
-4.078872927743976140e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.611686720799441446e+03,0.000000000000000000e+00,6.737084964197796566e+00,3.031218945824325033e+02,-1.833601055997613003e+03
-2.874512677432492121e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.608030382882895537e+03,0.000000000000000000e+00,6.961150335487086949e+00,3.130821774891180667e+02,-9.605802926080677935e+03
-1.936537404604233474e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.592857986842047694e+03,0.000000000000000000e+00,7.604329850261461132e+00,3.405061360524095448e+02,-3.453253547132725362e+04
-1.206027067510574095e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.554221746406306238e+03,0.000000000000000000e+00,9.877202943534049595e+00,4.389369287137004676e+02,-1.584749355926072167e+05
-6.370937831697178052e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.403988945155869033e+03,0.000000000000000000e+00,1.415852229626173830e+01,5.904287555208799176e+02,-3.673305176372653223e+05
-1.939993249603281882e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.195468451054969137e+03,0.000000000000000000e+00,2.981526182669917802e+01,1.123257154778358199e+03,-1.488984589574917220e+06
1.658262556641041123e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.012004433872953229e+02,3.700000000000000000e+02,0.000000000000000000e+00
5.090866048887993794e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.714195691547479328e+01,3.700000000000000000e+02,0.000000000000000000e+00
8.763751785592233806e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.362051197967780070e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.269373952386577444e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.241495485306865731e+01,3.700000000000000000e+02,0.000000000000000000e+00
